"time","CA","CB","CP","CI","X_A","Y_P","S_P","purity","production_rate","reactor"
40.5,0.117143895553119,0.317143895553119,0.792919078698137,0.0899370257487435,0.882856104446881,0.792919078698137,0.898129461648544,0.898129461648544,2.37875723609441,"CSTR"
41,0.117143883360667,0.317143883360667,0.792919089648537,0.0899370269907951,0.882856116639333,0.792919089648537,0.898129461648544,0.898129461648544,2.37875726894561,"CSTR"
41.5,0.117143873250627,0.317143873250627,0.792919098728662,0.0899370280207104,0.882856126749373,0.792919098728662,0.898129461648544,0.898129461648544,2.37875729618599,"CSTR"
42,0.117143864819174,0.317143864819174,0.792919106301199,0.0899370288796271,0.882856135180826,0.792919106301199,0.898129461648544,0.898129461648544,2.3787573189036,"CSTR"
42.5,0.117143858528527,0.317143858528527,0.792919111951014,0.0899370295204586,0.882856141471473,0.792919111951014,0.898129461648544,0.898129461648544,2.37875733585304,"CSTR"
43,0.117143853236361,0.317143853236361,0.792919116704065,0.0899370300595744,0.882856146763639,0.792919116704065,0.898129461648544,0.898129461648544,2.37875735011219,"CSTR"
43.5,0.117143848784192,0.317143848784192,0.792919120702689,0.0899370305131192,0.882856151215808,0.792919120702689,0.898129461648544,0.898129461648544,2.37875736210807,"CSTR"
44,0.117143845038693,0.317143845038693,0.792919124066632,0.0899370308946753,0.882856154961307,0.792919124066632,0.898129461648544,0.898129461648544,2.3787573721999,"CSTR"
44.5,0.117143841887696,0.317143841887696,0.792919126896635,0.089937031215669,0.882856158112304,0.792919126896635,0.898129461648544,0.898129461648544,2.37875738068991,"CSTR"
45,0.11714383923684,0.31714383923684,0.792919129277447,0.0899370314857131,0.88285616076316,0.792919129277447,0.898129461648544,0.898129461648544,2.37875738783234,"CSTR"
45.5,0.117143837006741,0.317143837006741,0.792919131280365,0.0899370317128945,0.882856162993259,0.792919131280365,0.898129461648544,0.898129461648544,2.3787573938411,"CSTR"
46,0.117143835130613,0.317143835130613,0.792919132965371,0.0899370319040167,0.882856164869387,0.792919132965371,0.898129461648544,0.898129461648544,2.37875739889611,"CSTR"
46.5,0.117143833552273,0.317143833552273,0.792919134382924,0.0899370320648031,0.882856166447727,0.792919134382924,0.898129461648544,0.898129461648544,2.37875740314877,"CSTR"
47,0.117143832224454,0.317143832224454,0.792919135575477,0.0899370322000687,0.882856167775546,0.792919135575477,0.898129461648544,0.898129461648544,2.37875740672643,"CSTR"
47.5,0.117143831107393,0.317143831107393,0.792919136578743,0.0899370323138643,0.882856168892607,0.792919136578743,0.898129461648544,0.898129461648544,2.37875740973623,"CSTR"
48,0.117143830167637,0.317143830167637,0.792919137422765,0.0899370324095977,0.882856169832363,0.792919137422765,0.898129461648544,0.898129461648544,2.3787574122683,"CSTR"
48.5,0.117143829377043,0.317143829377043,0.792919138132821,0.0899370324901359,0.882856170622957,0.792919138132821,0.898129461648544,0.898129461648544,2.37875741439846,"CSTR"
49,0.117143828711937,0.317143828711936,0.792919138730173,0.0899370325578907,0.882856171288063,0.792919138730173,0.898129461648544,0.898129461648544,2.37875741619052,"CSTR"
49.5,0.117143828152399,0.317143828152398,0.79291913923271,0.0899370326148912,0.882856171847601,0.79291913923271,0.898129461648544,0.898129461648544,2.37875741769813,"CSTR"
50,0.117143827681673,0.317143827681673,0.792919139655483,0.0899370326628442,0.882856172318327,0.792919139655483,0.898129461648544,0.898129461648544,2.37875741896645,"CSTR"
50.5,0.117143827285663,0.317143827285663,0.792919140011151,0.0899370327031859,0.882856172714337,0.792919140011151,0.898129461648544,0.898129461648544,2.37875742003345,"CSTR"
51,0.11714382695251,0.31714382695251,0.792919140310366,0.0899370327371244,0.88285617304749,0.792919140310366,0.898129461648544,0.898129461648544,2.3787574209311,"CSTR"
51.5,0.117143826672236,0.317143826672236,0.792919140562088,0.0899370327656761,0.882856173327764,0.792919140562088,0.898129461648544,0.898129461648544,2.37875742168626,"CSTR"
52,0.117143826436449,0.317143826436449,0.792919140773855,0.0899370327896959,0.882856173563551,0.792919140773855,0.898129461648544,0.898129461648544,2.37875742232157,"CSTR"
52.5,0.117143826238087,0.317143826238087,0.79291914095201,0.0899370328099031,0.882856173761913,0.79291914095201,0.898129461648544,0.898129461648544,2.37875742285603,"CSTR"
53,0.11714382607121,0.31714382607121,0.792919141101887,0.0899370328269029,0.88285617392879,0.792919141101887,0.898129461648544,0.898129461648544,2.37875742330566,"CSTR"
53.5,0.11714382593082,0.31714382593082,0.792919141227975,0.0899370328412045,0.88285617406918,0.792919141227975,0.898129461648544,0.898129461648544,2.37875742368393,"CSTR"
54,0.117143825812714,0.317143825812714,0.79291914133405,0.0899370328532361,0.882856174187286,0.79291914133405,0.898129461648544,0.898129461648544,2.37875742400215,"CSTR"
54.5,0.117143825713354,0.317143825713354,0.792919141423288,0.0899370328633579,0.882856174286646,0.792919141423288,0.898129461648544,0.898129461648544,2.37875742426986,"CSTR"
55,0.117143825629765,0.317143825629765,0.792919141498362,0.0899370328718732,0.882856174370235,0.792919141498362,0.898129461648544,0.898129461648544,2.37875742449509,"CSTR"
55.5,0.117143825559444,0.317143825559444,0.79291914156152,0.0899370328790369,0.882856174440556,0.79291914156152,0.898129461648544,0.898129461648544,2.37875742468456,"CSTR"
56,0.117143825500284,0.317143825500284,0.792919141614653,0.0899370328850635,0.882856174499716,0.792919141614653,0.898129461648544,0.898129461648544,2.37875742484396,"CSTR"
56.5,0.117143825450514,0.317143825450514,0.792919141659352,0.0899370328901335,0.882856174549486,0.792919141659352,0.898129461648544,0.898129461648544,2.37875742497806,"CSTR"
57,0.117143825408644,0.317143825408644,0.792919141696957,0.0899370328943988,0.882856174591356,0.792919141696957,0.898129461648544,0.898129461648544,2.37875742509087,"CSTR"
57.5,0.11714382537342,0.31714382537342,0.792919141728593,0.0899370328979871,0.88285617462658,0.792919141728593,0.898129461648544,0.898129461648544,2.37875742518578,"CSTR"
58,0.117143825343787,0.317143825343787,0.792919141755207,0.0899370329010059,0.882856174656213,0.792919141755207,0.898129461648544,0.898129461648544,2.37875742526562,"CSTR"
58.5,0.117143825318857,0.317143825318857,0.792919141777597,0.0899370329035455,0.882856174681143,0.792919141777597,0.898129461648544,0.898129461648544,2.37875742533279,"CSTR"
